,document,sentence,label
0,out\1007.json,"KEY WORDS: LONDON, PYTHON, DJANGO, HTML, CSS, JAVASCRIPT, AWS, ANSIBLE, POSTGRESQL",0
1,out\1007.json,"Position: Software Developer Location: London, United Kingdom Salary: £ 55,000- £ 85,000 DOE",0
2,out\1007.json,Please do not apply if you are not eligible to work in the UK,0
3,out\1007.json,City Based International Tech Start-Up is looking for mid to senior level full stack developers with extensive experience in Front End stack,0
4,out\1007.json,The company is building block chain technology for financial industry,0
5,out\1007.json,"Full Stack Developer will scale out the existing platform in a team of experienced developers, working closely with COO, CTO, Head of Product and CEO",0
6,out\1007.json,All of the team members have contributions in open-source projects and written or spoken to the wider development community about their work,0
7,out\1007.json,You are expected to add value to the current stack and processes and recommend new approaches when possible,0
8,out\1007.json,Crucial requirement:,1
9,out\1007.json,"In-depth understanding and experience in Front Endstack of HTML5, CSS3, SASS/LESS, JavaScript",1
10,out\1007.json,Minimum 3 years of relevant developing experience,1
11,out\1007.json,Secondary requirement: Experience in enterprise solutions,1
12,out\1007.json,"Your role and responsibilities will be as expected for a role of this nature, and for a candidate of your experience including:",1
13,out\1007.json,BSC in Computer Science or an equivalent analytical/numerate subject,1
14,out\1007.json,Candidates without degree is welcome as well as long as the extensive hands-on experience proven,1
15,out\1007.json,Extensive Back End Python/Django experience,1
16,out\1007.json,"Strong skills around the Front End stack of HTML5, CSS3, SASS/LESS, JavaScript",1
17,out\1007.json,Experience in various front-end frameworks (e,1
18,out\1007.json,g,1
19,out\1007.json,"Angular, React, etc",1
20,out\1007.json,),1
21,out\1007.json,Experience with AWS (or a similar cloud platform),1
22,out\1007.json,Experience with PostgreSQL,1
23,out\1007.json,"If you have more than 3 years relevant experience, kindly send your CV with reference “CGRUK0801” to: recruitment@consilienceconsulting",0
24,out\1007.json,co,0
25,out\1007.json,uk,0
26,out\1007.json,Click For Other Roles by,0
27,out\1007.json,Like this:,0
28,out\1007.json,Like Loading,0
0,out\1009.json,Our Purpose,0
1,out\1009.json,"We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible",0
2,out\1009.json,"Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential",0
3,out\1009.json,"Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company",0
4,out\1009.json,We cultivate a,0
5,out\1009.json,culture of inclusion,0
6,out\1009.json,"for all employees that respects their individual strengths, views, and experiences",0
7,out\1009.json,"We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results",0
8,out\1009.json,Job Title,0
9,out\1009.json,"Manager, Software Engineering",0
10,out\1009.json,Mastercard is a global technology company in the payments industry,0
11,out\1009.json,"Our mission is to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart, and accessible",0
12,out\1009.json,"Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments, and businesses realize their greatest potential",0
13,out\1009.json,"Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company",0
14,out\1009.json,"With connections across more than 210 countries and territories, we are building a sustainable world that unlocks priceless possibilities for all",0
15,out\1009.json,Job Title,0
16,out\1009.json,"Manager, Software Development Engineering",0
17,out\1009.json,"Digital Labs is a leading edge global innovation practice, delivering a range of innovation programs which incorporate the best in design thinking and agile development processes",0
18,out\1009.json,"Digital Labs support our customers and partners with Innovation and R&D consultation - delivering customized innovation programs, products and support - tailored to meet client-specific business challenges",0
19,out\1009.json,Digital Labs support Mastercard by creating products and solutions for our customers that activate Mastercard’s assets and drive the company’s core business,0
20,out\1009.json,"The vision of the Acquirer Innovation Hub is to protect and further strengthen one of Mastercard’s key assets, our acceptance network while accelerating product innovation and adoption for Mastercard’s key acquirers in the UK&I",0
21,out\1009.json,The Acquirer Innovation Hub will:,0
22,out\1009.json,Bring global innovation to the UK&I markets,0
23,out\1009.json,Create a centre of excellence for Acquirers,0
24,out\1009.json,Position Mastercard at the centre of innovation in the UK market,0
25,out\1009.json,Step change the relationship with Acquirers,0
